year,value,source
1990/06,1699.080265,who
1995/06,820.7382893,who
2000/06,1886.250156,who
2005/06,1785.449718,who
2000/06,71.98656956,Outliers
2001/06,49.69069586,Outliers
2001/06,49.66664422,Outliers
2001/07,211.6304128,Outliers
2001/07,276.4255409,Outliers
